FID,IMOS_SITE_CODE,SOTS_YEAR,SOTS_DEPLOYMENT,DEPLOYMENT_VOYAGE,RETRIEVAL_VOYAGE,DEPLOYMENT_DATE,RETRIEVAL_DATE,SAMPLE_NUMBER,SAMPLE_DATE,SAMPLE_TIME,LONGITUDE,LATITUDE,TAXON_NAME,FAMILY,GENUS,SPECIES,TAXON_ECO_GROUP,CAAB_CODE,TAXON_START_DATE,CELL_PER_LITRE,BIOVOLUME_UM3_PER_L,SAMPLE_COMMENTS,STATION_PT
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_501c,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Pinus pollen,,,,Other,99000018,2008-09-29,158,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_501d,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Gymnodinioid dinoflagellate 10-20 µm,Gymnodiniaceae,,,Dinoflagellate,52001000,2008-09-29,263,193890.557,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_501e,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Rhizosolenia spp.,Rhizosoleniaceae,Rhizosolenia,spp.,Centric diatom,53105900,2008-09-29,26,13069014.4,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_501f,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Centric diatom < 10 µm,,,,Centric diatom,,2008-09-29,105,20616.684,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5020,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Dictyocha speculum,Dictyochaceae,Dictyocha,speculum,Silicoflagellate,53380004,2008-09-29,132,151845.611,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5021,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Oxytoxum spp.,Oxytoxaceae,Oxytoxum,spp.,Dinoflagellate,52051900,2008-09-29,26,91891.508,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5022,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Navicula cf. 40-60 µm length,Naviculaceae,,,Pennate diatom,53255000,2012-03-01,53,109312.5,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5023,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Ciliate 30-40 µm,,,,Ciliate,,,26,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5024,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Rhizosolenia cf. simplex,Rhizosoleniaceae,Rhizosolenia,cf. simplex,Centric diatom,53105029,,26,3451036.615,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5025,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 20-40 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530010,2008-09-29,53,374634.608,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5026,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 10-20 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530009,2008-09-29,184,578052.56,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5027,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Mesodinium rubrum,Mesodiniidae,Mesodinium,rubrum,Ciliate,,2008-09-29,710,2710092.614,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5028,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Ciliate 10-20 µm,,,,Ciliate,,,26,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5029,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Phaeocystis antarctica,Phaeocystaceae,Phaeocystis,antarctica,Flagellate,,,895,101222.03,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502a,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Scrippsiella trochoidea,Peridiniaceae,Scrippsiella,trochoidea,Dinoflagellate,52042008,2008-09-29,26,156093.041,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502b,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Protoperidinium spp.,Protoperidiniaceae,Protoperidinium,spp.,Dinoflagellate,52043902,2008-09-29,26,2007400.612,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502c,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Leptocylindrus mediterraneus,Leptocylindraceae,Leptocylindrus,mediterraneus,Centric diatom,53115002,2008-09-29,26,245044.02,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502d,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,2,2010-09-12,2010-09-12T00:00Z,142.2566,-46.9347333,Unid dinoflagellate 10 - 30 µm,,,,Dinoflagellate,,2008-09-29,1447,9091761.46,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502e,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Oxytoxum spp.,Oxytoxaceae,Oxytoxum,spp.,Dinoflagellate,52051900,2008-09-29,52,183783.015,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_502f,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Leptocylindrus mediterraneus,Leptocylindraceae,Leptocylindrus,mediterraneus,Centric diatom,53115002,2008-09-29,52,490088.04,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5030,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Corethron pennatum,Corethraceae,Corethron,pennatum,Centric diatom,53095001,2008-09-29,26,762359.173,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5031,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Ciliate 10-20 µm,,,,Ciliate,,,26,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5032,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Ciliate 30-40 µm,,,,Ciliate,,,678,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5033,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Nitzschia cf. longissima,Bacillariaceae,Nitzschia,cf. longissima,Pennate diatom,,2008-09-29,52,1679600,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5034,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Unid dinoflagellate 10 - 30 µm,,,,Dinoflagellate,,2008-09-29,1251,7860258.18,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5035,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Pennate diatom 25 - 50 µm,,,,Pennate diatom,99530004,2008-09-29,52,23400,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5036,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Asteromphalus cf heptactis,Asterolampraceae,Asteromphalus,cf. heptactis,Centric diatom,,,26,2898608.879,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5037,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Dictyocysta mitra,Dictyocystidae,Dictyocysta,mitra,Ciliate,,2012-08-07,26,51731.515,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5038,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 10-20 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530009,2008-09-29,182,571769.38,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5039,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Thalassiothrix antarctica,Thalassionemataceae,Thalassiothrix,antarctica,Pennate diatom,53150008,2008-09-29,26,1115156.25,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503a,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Rhabdonella spp.,Rhabdonellidae,Rhabdonella,spp.,Ciliate,50570900,2010-01-01,26,3403389.167,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503b,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Pterosperma polygonum,Pterospermataceae,Pterosperma,polygonum,Flagellate,56005001,2008-09-29,52,811122.933,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503c,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Dinophysis spp.,Dinophysiaceae,Dinophysis,spp.,Dinoflagellate,52065900,2008-09-29,26,190589.793,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503d,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Gymnodinioid dinoflagellate 10-20 µm,Gymnodiniaceae,,,Dinoflagellate,52001000,2008-09-29,26,19167.888,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503e,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Pinus pollen,,,,Other,99000018,2008-09-29,182,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_503f,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Dictyocha speculum,Dictyochaceae,Dictyocha,speculum,Silicoflagellate,53380004,2008-09-29,130,149544.92,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5040,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Scrippsiella trochoidea,Peridiniaceae,Scrippsiella,trochoidea,Dinoflagellate,52042008,2008-09-29,26,156093.041,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5041,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Ciliate 20-30 µm,,,,Ciliate,,,287,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5042,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Phaeocystis antarctica,Phaeocystaceae,Phaeocystis,antarctica,Flagellate,,,964,109025.739,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5043,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,4,2010-09-21,2010-09-21T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 20-40 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530010,2008-09-29,104,735132.06,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5044,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Oxytoxum spp.,Oxytoxaceae,Oxytoxum,spp.,Dinoflagellate,52051900,2008-09-29,101,356963.164,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5045,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Fragilariopsis spp.,Bacillariaceae,Fragilariopsis,spp.,Pennate diatom,53120903,2008-09-29,25,35048.363,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5046,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Prymnesiophytes,,,,Flagellate,,2008-09-29,101,52883.432,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5047,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Dictyocysta mitra,Dictyocystidae,Dictyocysta,mitra,Ciliate,,2012-08-07,25,49741.842,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5048,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Pinus pollen,,,,Other,99000018,2008-09-29,101,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5049,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Corethron pennatum,Corethraceae,Corethron,pennatum,Centric diatom,53095001,2008-09-29,50,1466075.333,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504a,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Pennate diatom 75 - 100 µm,,,,Pennate diatom,99530004,2008-09-29,252,264600,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504b,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Dactyliosolen tenuijunctus,Rhizosoleniaceae,Dactyliosolen,tenuijunctus,Centric diatom,53105025,2008-09-29,50,116101.385,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504c,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Guinardia cylindrus,Rhizosoleniaceae,Guinardia,cylindrus,Centric diatom,53105004,2012-03-01,50,3534288.75,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504d,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Ciliate 20-30 µm,,,,Ciliate,,,429,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504e,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Unid dinoflagellate > 50 µm,,,,Dinoflagellate,,2015-02-01,25,1963493.75,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_504f,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Pennate diatom 25 - 50 µm,,,,Pennate diatom,99530004,2008-09-29,50,22500,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5050,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Leptocylindrus mediterraneus,Leptocylindraceae,Leptocylindrus,mediterraneus,Centric diatom,53115002,2008-09-29,151,1423140.27,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5051,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Dictyocha speculum,Dictyochaceae,Dictyocha,speculum,Silicoflagellate,53380004,2008-09-29,25,28758.638,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5052,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Gymnodinioid dinoflagellate 10-20 µm,Gymnodiniaceae,,,Dinoflagellate,52001000,2008-09-29,76,56029.21,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5053,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Unid dinoflagellate 10 - 30 µm,,,,Dinoflagellate,,2008-09-29,1565,9833176.7,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5054,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 10-20 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530009,2008-09-29,76,238760.84,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5055,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Proboscia alata,Rhizosoleniaceae,Proboscia,alata,Centric diatom,53105009,2008-09-29,252,16724254.365,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5056,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Phaeocystis antarctica,Phaeocystaceae,Phaeocystis,antarctica,Flagellate,,,5426,613665.624,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5057,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,6,2010-09-30,2010-09-30T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 20-40 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530010,2008-09-29,101,713926.328,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5058,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Scrippsiella trochoidea,Peridiniaceae,Scrippsiella,trochoidea,Dinoflagellate,52042008,2008-09-29,168,1008601.186,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_5059,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Pennate diatom 50 - 75 µm,,,,Pennate diatom,99530004,2015-02-11,84,63000,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505a,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Dictyocha speculum,Dictyochaceae,Dictyocha,speculum,Silicoflagellate,53380004,2008-09-29,168,193258.05,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505b,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Tintinnina ,Tintinnidae,,,Ciliate,,2012-08-07,84,859028.516,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505c,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Gymnodinioid dinoflagellate 10-20 µm,Gymnodiniaceae,,,Dinoflagellate,52001000,2008-09-29,1259,928168.105,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505d,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Ciliate 20-30 µm,,,,Ciliate,,,336,,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505e,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Thalassiosira spp. 10-20 µm,Thalassiosiraceae,Thalassiosira,spp.,Centric diatom,99530009,2008-09-29,336,1055574.24,,POINT (142.2566 -46.9347333)
PLANKTON_SOTS_PHYTOPLANKTON.fid--4da73967_172ec7f5dda_505f,SOTS_RAS,2010,SOTS_RAS2010PULSE_7,SS2010_V07,SS2011_V01,2010-09-09,,8,2010-10-09,2010-10-09T00:00Z,142.2566,-46.9347333,Fragilariopsis kerguelensis,Bacillariaceae,Fragilariopsis,kerguelensis,Pennate diatom,53120015,2008-09-29,84,220615.016,,POINT (142.2566 -46.9347333)
